neutral_id,status,reason,molecular_weight_g_mol,cation_id,anion_id
libe-118057,accepted,,132.071,libe-132041,libe-132018
libe-118097,rejected,missing_cation_match,132.071,,
libe-138237,rejected,disallowed_element,,,
libe-138246,rejected,disallowed_element,,,
libe-177256,rejected,disallowed_element,,,
libe-177290,rejected,disallowed_element,,,
libe-177319,rejected,disallowed_element,,,
libe-177670,rejected,disallowed_element,,,
libe-177672,rejected,disallowed_element,,,
libe-178141,rejected,disallowed_element,,,
libe-178301,rejected,disallowed_element,,,
libe-180423,rejected,disallowed_element,,,
libe-180535,rejected,disallowed_element,,,
libe-221986,rejected,disallowed_element,,,
libe-222831,rejected,disallowed_element,,,
libe-140959,rejected,not_closed_shell,,,
libe-141026,rejected,not_closed_shell,,,
libe-141050,rejected,not_closed_shell,,,
libe-409448,rejected,not_closed_shell,,,
libe-116073,rejected,not_closed_shell,43.045,,
libe-116076,rejected,not_closed_shell,43.045,,
libe-116078,rejected,not_closed_shell,43.045,,
libe-116084,rejected,not_closed_shell,43.045,,
libe-208871,rejected,not_closed_shell,43.045,,
libe-209186,rejected,not_closed_shell,43.045,,
libe-524480,rejected,not_closed_shell,43.045,,
libe-178960,rejected,not_closed_shell,,,
libe-515441,rejected,disallowed_element,,,
libe-525446,rejected,disallowed_element,,,
libe-137364,rejected,disallowed_element,,,
libe-523732,rejected,disallowed_element,,,
libe-140757,rejected,disallowed_element,,,
libe-140840,rejected,disallowed_element,,,
libe-140846,rejected,disallowed_element,,,
libe-140877,rejected,disallowed_element,,,
libe-140921,rejected,disallowed_element,,,
libe-141160,rejected,disallowed_element,,,
libe-141213,rejected,disallowed_element,,,
libe-141264,rejected,disallowed_element,,,
libe-141365,rejected,disallowed_element,,,
libe-141450,rejected,disallowed_element,,,
libe-501712,rejected,not_closed_shell,,,
libe-515689,rejected,disallowed_element,,,
libe-519444,rejected,disallowed_element,,,
libe-521690,rejected,disallowed_element,,,
libe-528276,rejected,disallowed_element,,,
libe-640179,rejected,not_closed_shell,,,
libe-640183,rejected,not_closed_shell,,,
libe-640196,rejected,not_closed_shell,,,
libe-640367,rejected,not_closed_shell,,,
libe-116130,rejected,not_closed_shell,,,
libe-116134,rejected,not_closed_shell,,,
libe-116162,rejected,not_closed_shell,,,
libe-120394,rejected,not_closed_shell,,,
libe-120395,rejected,not_closed_shell,,,
libe-120396,rejected,not_closed_shell,,,
libe-120397,rejected,not_closed_shell,,,
libe-120399,rejected,not_closed_shell,,,
libe-120403,rejected,not_closed_shell,,,
libe-120404,rejected,not_closed_shell,,,
libe-120405,rejected,not_closed_shell,,,
